Date,Close,High,Low,Open,Volume,Day,Ticker
2016-06-14,208.04,208.74,206.92,207.97,290604,113.0,SPY
2016-06-15,207.75,209.23,207.53,208.57,239302,114.0,SPY
2016-06-16,208.37,208.57,205.59,206.74,324673,115.0,SPY
2016-06-17,206.52,207.2,205.75,207.14,239070,116.0,SPY
2016-06-20,207.85,209.61,207.75,208.84,169601,117.0,SPY
2016-06-21,208.44,208.91,207.79,208.26,179099,118.0,SPY
2016-06-22,208.1,209.49,207.94,208.69,221090,119.0,SPY
2016-06-23,210.81,210.85,209.27,209.83,199315,120.0,SPY
2016-06-24,203.13,206.91,202.72,203.63,673156,121.0,SPY
2016-06-27,199.6,201.59,198.66,201.59,488232,122.0,SPY
2016-06-28,203.2,203.2,201.13,201.5,332925,123.0,SPY
2016-06-29,206.66,206.93,204.72,204.83,289900,124.0,SPY
2016-06-30,209.475,209.54,206.56,207.21,338451,125.0,SPY
2016-07-01,209.92,210.49,209.29,209.36,203313,126.0,SPY
2016-07-05,208.41,209.08,207.71,208.9,227943,127.0,SPY
2016-07-06,209.66,209.8,207.06,207.83,228342,128.0,SPY
2016-07-07,209.525,210.64,208.63,209.89,183003,129.0,SPY
2016-07-08,212.65,212.93,210.78,211.05,237422,130.0,SPY
2016-07-11,213.4,214.07,212.95,213.16,158092,131.0,SPY
2016-07-12,214.95,215.3,214.25,214.51,198424,132.0,SPY
2016-07-13,214.92,215.45,214.35,215.42,180771,133.0,SPY
2016-07-14,216.12,216.67,215.66,216.34,202583,134.0,SPY
2016-07-15,215.83,216.81,215.31,216.79,186748,135.0,SPY
2016-07-18,216.41,216.6,215.67,215.95,114152,136.0,SPY
2016-07-19,216.19,216.23,215.64,215.88,125295,137.0,SPY
2016-07-20,217.085,217.37,216.24,216.75,127777,138.0,SPY
2016-07-21,216.265,217.22,215.75,216.95,159089,139.0,SPY
2016-07-22,217.24,217.3,216.11,216.4,148637,140.0,SPY
2016-07-25,216.65,217.06,215.97,217.0,125332,141.0,SPY
2016-07-26,216.75,217.17,215.76,216.53,181193,142.0,SPY
2016-07-27,216.52,217.26,215.65,217.17,203044,143.0,SPY
2016-07-28,216.77,217.11,215.75,216.26,185246,144.0,SPY
2016-07-29,217.12,217.54,216.13,216.45,201129,145.0,SPY
2016-08-01,216.94,217.65,216.41,217.15,197349,146.0,SPY
2016-08-02,215.55,216.83,214.57,216.64,205623,147.0,SPY
2016-08-03,216.18,216.24,215.13,215.45,114952,148.0,SPY
2016-08-04,216.41,216.78,215.84,216.3,109583,149.0,SPY
2016-08-05,218.18,218.23,217.07,217.19,143705,150.0,SPY
2016-08-08,218.05,218.52,217.74,218.39,102232,151.0,SPY
2016-08-09,218.18,218.76,217.8,218.12,133311,152.0,SPY
2016-08-10,217.64,218.4,217.23,218.29,143886,153.0,SPY
